Название,Стоимость,Наличие
Плата нижняя для Canon EOS 60D в сборе,3 850 руб,В наличии
Плата питания на Canon EOS 650D со шлейфами и аккумуляторным отсеком,3 900 руб,Нет в наличии
Плата питания для Canon EOS 600D,3 900 руб,В наличии
Плата питания для Canon EOS 7D,3 950 руб,Нет в наличии
Блок зеркала для Canon EOS 5D 1ver.,4 000 руб,Нет в наличии
"Привод зеркала и затвора для Canon EOS 1D, EOS 1Ds mark II",4 200 руб,В наличии
Плата питания для Canon EOS 60D,4 200 руб,В наличии
Системная плата Canon EOS 50D,4 200 руб,В наличии
"Блок затвора Canon EOS 1D mark II, 1D mark II N, 1Ds mark II",4 500 руб,Нет в наличии
Системная плата Canon EOS 550D,4 500 руб,В наличии
Плата питания для Canon 5D Mark II,4 500 руб,В наличии
Видоискатель в сборе для Canon EOS 6D,4 500 руб,В наличии
Датчик автофокуса Canon 6D,4 500 руб,В наличии
Привод затвора для Canon EOS 5D Mark IV,4 500 руб,В наличии
Шлейф дисплея Canon EOS 100,4 500 руб,В наличии
Затвор для Canon EOS R,4 950 руб,Нет в наличии
Шлейф дисплея для Canon EOS R,5 200 руб,В наличии
Плата питания для Canon EOS 6D,5 250 руб,В наличии
Затвор для Canon EOS 5D mark II,5 750 руб,Нет в наличии
Плата системная на Canon EOS 650D,6 200 руб,Нет в наличии
Плата системная для Canon 600D,6 250 руб,Нет в наличии
Матрица для Canon EOS 5D Mark II,7 950 руб,В наличии
Блок зеркала без пентапризмы для Canon 1Dx,8 000 руб,В наличии
Затвор для Canon 6D,8 500 руб,Нет в наличии
Блок зеркала для Canon EOS 6D,10 200 руб,В наличии
Системная плата для Canon EOS 70D,12 100 руб,Нет в наличии
Системная плата для Canon EOS 6D,12 250 руб,Нет в наличии
Затвор для Canon 5D Mark IV,14 500 руб,Нет в наличии
Затвор для Canon EOS 1Dx,17 500 руб,Нет в наличии
